Period,Open,High,Low,Close
2025-05-27,12920.430000,13074.730000,12920.430000,13069.324517
2025-05-23,12760.060000,12865.140000,12730.500000,12806.236126
2025-05-22,12890.300000,12971.460000,12857.350000,12891.951614
2025-05-21,13042.100000,13104.290000,12867.300000,12897.424779
2025-05-20,13117.780000,13136.290000,13041.970000,13108.517633
2025-05-19,13025.330000,13170.270000,13010.090000,13159.309245
2025-05-16,13081.280000,13145.880000,13033.420000,13145.881635
2025-05-15,12948.840000,13068.590000,12938.720000,13052.719223
2025-05-14,13004.950000,13025.880000,12951.250000,12995.783930
2025-05-13,12910.420000,13026.150000,12891.070000,12981.889686
2025-05-12,12806.570000,12890.200000,12761.840000,12888.128556
2025-05-09,12523.820000,12550.180000,12446.040000,12480.313205
2025-05-08,12486.260000,12610.790000,12424.180000,12486.997572
2025-05-07,12377.270000,12464.350000,12299.820000,12414.984638
2025-05-06,12358.860000,12455.240000,12315.290000,12361.157428
2025-05-05,12467.710000,12529.340000,12421.780000,12456.835136
2025-05-02,12446.270000,12567.090000,12438.330000,12536.199520
2025-05-01,12400.170000,12474.370000,12340.650000,12353.874120
2025-04-30,12122.920000,12303.550000,11977.390000,12276.392719
2025-04-29,12142.750000,12281.380000,12136.840000,12257.271707
2025-04-28,12187.560000,12241.060000,12054.460000,12186.516620
2025-04-25,12100.290000,12184.800000,12025.870000,12178.491963
2025-04-24,11861.410000,12099.060000,11843.100000,12089.305193
2025-04-23,11893.460000,12056.060000,11805.850000,11849.250446
2025-04-22,11478.290000,11702.990000,11478.290000,11654.827916
2025-04-21,11533.700000,11533.700000,11244.360000,11368.984549
2025-04-17,11692.530000,11742.780000,11583.080000,11642.397238
2025-04-16,11759.130000,11827.580000,11505.840000,11626.790179
2025-04-15,11926.820000,12010.690000,11871.220000,11892.993876
2025-04-14,11991.740000,12029.280000,11806.790000,11912.446445
2025-04-11,11580.990000,11858.400000,11509.350000,11818.526707
2025-04-10,11795.700000,11795.700000,11271.610000,11608.215323
2025-04-09,10939.130000,12075.810000,10902.010000,12022.214222
2025-04-08,11441.910000,11603.310000,10819.230000,10977.500543
2025-04-07,10913.620000,11557.060000,10652.020000,11152.557448
2025-04-04,11658.810000,11658.810000,11171.840000,11178.475081
2025-04-03,12099.100000,12113.650000,11875.000000,11887.152612
2025-04-02,12292.380000,12544.570000,12272.080000,12491.095530
2025-04-01,12328.970000,12445.630000,12243.510000,12407.255178
2025-03-31,12175.350000,12394.180000,12089.050000,12360.206455
2025-03-28,12507.240000,12521.840000,12272.990000,12290.857975
2025-03-27,12543.060000,12623.740000,12490.140000,12537.925192
2025-03-26,12710.410000,12736.550000,12540.620000,12579.483761
2025-03-25,12719.900000,12743.790000,12685.780000,12721.411620
2025-03-24,12591.940000,12717.590000,12591.940000,12700.909805
2025-03-21,12399.480000,12487.210000,12338.810000,12480.593846
2025-03-20,12434.790000,12575.930000,12404.030000,12469.966430
2025-03-19,12401.250000,12583.900000,12378.850000,12495.744007
2025-03-18,12449.940000,12449.940000,12324.960000,12362.155217
2025-03-17,12407.810000,12557.360000,12397.940000,12494.816195
2025-03-14,12249.000000,12428.120000,12249.000000,12414.283654
2025-03-13,12313.850000,12320.630000,12116.310000,12153.330719
2025-03-12,12379.700000,12417.810000,12207.990000,12323.496836
2025-03-11,12332.810000,12403.810000,12168.240000,12263.307105
2025-03-10,12556.510000,12556.510000,12245.470000,12356.687620
2025-03-07,12599.680000,12724.500000,12468.970000,12696.900482
2025-03-06,12729.490000,12787.140000,12566.590000,12625.311917
2025-03-05,12719.200000,12893.510000,12635.170000,12853.993875
2025-03-04,12786.290000,12903.090000,12612.830000,12711.863172
2025-03-03,13129.870000,13168.720000,12784.130000,12868.953710
2025-02-28,12883.180000,13107.590000,12841.650000,13098.215934
2025-02-27,13156.810000,13182.770000,12887.200000,12892.199093
2025-02-26,13132.480000,13217.650000,13048.590000,13099.912497
2025-02-25,13158.290000,13178.670000,12996.340000,13097.848153
2025-02-24,13254.760000,13292.060000,13148.630000,13159.206971
2025-02-21,13446.510000,13448.000000,13214.500000,13224.445889
2025-02-20,13490.870000,13490.870000,13382.360000,13453.538589
2025-02-19,13452.250000,13517.320000,13438.020000,13510.289129
2025-02-18,13460.470000,13478.130000,13412.180000,13478.021287
2025-02-14,13445.050000,13471.010000,13427.680000,13443.097469
2025-02-13,13321.190000,13444.900000,13300.480000,13440.932660
2025-02-12,13243.010000,13326.300000,13195.150000,13302.101982
2025-02-11,13294.840000,13354.080000,13284.750000,13337.003442
2025-02-10,13288.110000,13347.240000,13285.100000,13332.149870
2025-02-07,13366.870000,13406.710000,13228.190000,13241.336694
2025-02-06,13342.030000,13367.670000,13286.460000,13366.959378
2025-02-05,13228.290000,13320.050000,13199.550000,13318.428485
2025-02-04,13179.130000,13276.560000,13163.820000,13266.452978
2025-02-03,13116.480000,13231.440000,13016.450000,13171.210748
